strategy,chunk_id,parent_document_id,file_name,doc_type,page_number,char_count,word_count,text_preview
small_recursive,doc_00000_chunk_043,doc_00000,audit.txt,txt,,364,57,"strong access controls to help prevent unauthorized access. The integrity of audit trail information may be particularly important when legal issues arise, such as when audit trails are used as legal "
small_recursive,doc_00000_chunk_044,doc_00000,audit.txt,txt,,400,55,"The confidentiality of audit trail information may also be protected, for example, if the audit trail is recording information about users that may be disclosure-sensitive such as transaction data con"
small_recursive,doc_00000_chunk_045,doc_00000,audit.txt,txt,,485,82,"Review of Audit Trails Audit trails can be used to review what occurred after an event, for periodic reviews, and for real-time analysis. Reviewers should know what to look for to be effective in spot"
small_recursive,doc_00000_chunk_046,doc_00000,audit.txt,txt,,445,65,"Audit Trail Review After an Event. Following a known system or application software problem, a known violation of existing requirements by a user, or some unexplained system or user problem, the appro"
small_recursive,doc_00000_chunk_047,doc_00000,audit.txt,txt,,402,56,"Periodic Review of Audit Trail Data. Application owners, data owners, system administrators, data processing function managers, and computer security managers should determine how much review of audit"
small_recursive,doc_00000_chunk_048,doc_00000,audit.txt,txt,,431,65,"Real-Time Audit Analysis. Traditionally, audit trails are analyzed in a batch mode at regular intervals (e.g., daily). Audit records are archived during that interval for later analysis. Audit analysi"
small_recursive,doc_00000_chunk_049,doc_00000,audit.txt,txt,,357,57,"techniques. Manual review of audit records in real-time is almost never feasible on large multiuser systems due to the volume of records generated. However, it might be possible to view all records as"
small_recursive,doc_00000_chunk_050,doc_00000,audit.txt,txt,,484,82,"Tools for Audit Trail Analysis Many types of tools have been developed to help to reduce the amount of information contained in audit records, as well as to distill useful information from the raw dat"
small_recursive,doc_00000_chunk_051,doc_00000,audit.txt,txt,,440,69,"Audit reduction tools are preprocessors designed to reduce the volume of audit records to facilitate manual review. Before a security review, these tools can remove many audit records known to have li"
small_recursive,doc_00000_chunk_052,doc_00000,audit.txt,txt,,352,56,Trends/variance-detection tools look for anomalies in user or system behavior. It is possible to construct more sophisticated processors that monitor usage trends and detect major variations. For exam
small_recursive,doc_00000_chunk_053,doc_00000,audit.txt,txt,,206,30,"Attack signature-detection tools look for an attack signature, which is a specific sequence of events indicative of an unauthorized access attempt. A simple example would be repeated failed log-in att"
small_recursive,doc_00000_chunk_054,doc_00000,audit.txt,txt,,446,69,"COST CONSIDERATIONS Audit trails involve many costs. First, some system overhead is incurred recording the audit trail. Additional system overhead will be incurred storing and processing the records. "
small_recursive,doc_00000_chunk_055,doc_00000,audit.txt,txt,,493,71,"perform most of the analysis. Many simple analyzers can be constructed quickly (and cheaply) from system utilities, but they are limited to audit reduction and identifying particularly sensitive event"
small_recursive,doc_00000_chunk_056,doc_00000,audit.txt,txt,,222,33,"The final cost of audit trails is the cost of investigating anomalous events. If the system is identifying too many events as suspicious, administrators may spend undue time reconstructing events and "
small_recursive,doc_00000_chunk_057,doc_00000,audit.txt,txt,,413,54,"FOR MORE INFORMATION This bulletin summarizes a chapter in NIST Special Publication 800-12, Introduction to Computer Security: The NIST Handbook. The handbook is available electronically at: http://cs"
small_recursive,doc_00001_chunk_000,doc_00001,cui-ssp-template-final.docx,docx,,497,61,<<Insert name>> SYSTEM SECURITY PLAN Last Updated: <<Insert date>>  SYSTEM IDENTIFICATION  System Name/Title: [State the name of the system. Spell out acronyms.]  System Categorization: Moderate Impac
small_recursive,doc_00001_chunk_001,doc_00001,cui-ssp-template-final.docx,docx,,430,55,Name:  Title:  Office Address:  Work Phone:  e-Mail Address:  System Owner (assignment of security responsibility):  Name:  Title:  Office Address:  Work Phone:  e-Mail Address:  System Security Offic
small_recursive,doc_00001_chunk_002,doc_00001,cui-ssp-template-final.docx,docx,,416,61,"Number of end users and privileged users: [In the table below, provide the approximate number of users and administrators of the system. Include all those with privileged access such as system adminis"
small_recursive,doc_00001_chunk_003,doc_00001,cui-ssp-template-final.docx,docx,,409,50,"Number of Users  Number of Administrators/  Privileged Users  General Description of Information: CUI information types processed, stored, or transmitted by the system are determined and documented. F"
small_recursive,doc_00001_chunk_004,doc_00001,cui-ssp-template-final.docx,docx,,134,18,"Include a detailed topology narrative and graphic that clearly depicts the system boundaries, system interconnections, and key devices"
small_recursive,doc_00001_chunk_005,doc_00001,cui-ssp-template-final.docx,docx,,411,58,". (Note: this does not require depicting every workstation or desktop, but include an instance for each operating system in use, an instance for portable components (if applicable), all virtual and ph"
small_recursive,doc_00001_chunk_006,doc_00001,cui-ssp-template-final.docx,docx,,232,38,". If components of other systems that interconnect/interface with this system need to be shown on the diagram, denote the system boundaries by referencing the security plans or names and owners of the"
small_recursive,doc_00001_chunk_007,doc_00001,cui-ssp-template-final.docx,docx,,139,20,[Insert a system topology graphic. Provide a narrative consistent with the graphic that clearly lists and describes each system component.]
small_recursive,doc_00001_chunk_008,doc_00001,cui-ssp-template-final.docx,docx,,402,55,Include or reference a complete and accurate listing of all hardware (a reference to the organizational component inventory database is acceptable) and software (system software and application softwa
small_recursive,doc_00001_chunk_009,doc_00001,cui-ssp-template-final.docx,docx,,399,58,List all software components installed on the system. [Insert the reference/URL or note that the software component inventory is attached.]  Hardware and Software Maintenance and Ownership - Is all ha
small_recursive,doc_00001_chunk_010,doc_00001,cui-ssp-template-final.docx,docx,,476,70,Provide a thorough description of how all of the security requirements are being implemented or planned to be implemented. The description for each security requirement contains: 1) the security requi
small_recursive,doc_00001_chunk_011,doc_00001,cui-ssp-template-final.docx,docx,,72,12,". If the requirement is not applicable to the system, provide rationale."
small_recursive,doc_00001_chunk_012,doc_00001,cui-ssp-template-final.docx,docx,,466,62,"Access Control  Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).  Implemented  Planned to be Implemented  Not Applicable "
small_recursive,doc_00001_chunk_013,doc_00001,cui-ssp-template-final.docx,docx,,487,61,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Control the flow of CUI in accordance with ap"
small_recursive,doc_00001_chunk_014,doc_00001,cui-ssp-template-final.docx,docx,,493,59,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Employ the principle of least privilege, incl"
small_recursive,doc_00001_chunk_015,doc_00001,cui-ssp-template-final.docx,docx,,493,59,Use non-privileged accounts or roles when accessing nonsecurity functions.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Ap
small_recursive,doc_00001_chunk_016,doc_00001,cui-ssp-template-final.docx,docx,,420,50,"Limit unsuccessful logon attempts.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Provide p"
small_recursive,doc_00001_chunk_017,doc_00001,cui-ssp-template-final.docx,docx,,490,62,Use session lock with pattern-hiding displays to prevent access and viewing of data after period of inactivity.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or plann
small_recursive,doc_00001_chunk_018,doc_00001,cui-ssp-template-final.docx,docx,,444,53,"Monitor and control remote access sessions.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  "
small_recursive,doc_00001_chunk_019,doc_00001,cui-ssp-template-final.docx,docx,,467,56,"Route remote access via managed access control points.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide r"
small_recursive,doc_00001_chunk_020,doc_00001,cui-ssp-template-final.docx,docx,,485,57,"Authorize wireless access prior to allowing such connections.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” pr"
small_recursive,doc_00001_chunk_021,doc_00001,cui-ssp-template-final.docx,docx,,493,61,"Control connection of mobile devices.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Encryp"
small_recursive,doc_00001_chunk_022,doc_00001,cui-ssp-template-final.docx,docx,,488,60,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Limit use of organizational portable storage "
small_recursive,doc_00001_chunk_023,doc_00001,cui-ssp-template-final.docx,docx,,486,64,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Awareness and Training  Ensure that managers,"
small_recursive,doc_00001_chunk_024,doc_00001,cui-ssp-template-final.docx,docx,,455,53,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Ensure that organizational personnel are adeq"
small_recursive,doc_00001_chunk_025,doc_00001,cui-ssp-template-final.docx,docx,,478,61,Provide security awareness training on recognizing and reporting potential indicators of insider threat.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned impl
small_recursive,doc_00001_chunk_026,doc_00001,cui-ssp-template-final.docx,docx,,496,66,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Ensure that the actions of individual system "
small_recursive,doc_00001_chunk_027,doc_00001,cui-ssp-template-final.docx,docx,,399,51,"Review and update logged events.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Alert in th"
small_recursive,doc_00001_chunk_028,doc_00001,cui-ssp-template-final.docx,docx,,480,59,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.  Implemented  Planned to be I"
small_recursive,doc_00001_chunk_029,doc_00001,cui-ssp-template-final.docx,docx,,463,58,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Provide a system capability that compares and"
small_recursive,doc_00001_chunk_030,doc_00001,cui-ssp-template-final.docx,docx,,495,61,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned imple"
small_recursive,doc_00001_chunk_031,doc_00001,cui-ssp-template-final.docx,docx,,387,43,"Configuration Management  Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective"
small_recursive,doc_00001_chunk_032,doc_00001,cui-ssp-template-final.docx,docx,,418,50,Establish and enforce security configuration settings for information technology products employed in organizational systems.  Implemented  Planned to be Implemented  Not Applicable  Current implement
small_recursive,doc_00001_chunk_033,doc_00001,cui-ssp-template-final.docx,docx,,373,45,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Analyze the security impact of changes prior "
small_recursive,doc_00001_chunk_034,doc_00001,cui-ssp-template-final.docx,docx,,464,56,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.  Implemented  Planned to be Implemented  Not Applicable  Current impl"
small_recursive,doc_00001_chunk_035,doc_00001,cui-ssp-template-final.docx,docx,,416,50,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Restrict, disable, or prevent the use of none"
small_recursive,doc_00001_chunk_036,doc_00001,cui-ssp-template-final.docx,docx,,448,53,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.  Impleme"
small_recursive,doc_00001_chunk_037,doc_00001,cui-ssp-template-final.docx,docx,,417,50,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Identification and Authentication  Identify s"
small_recursive,doc_00001_chunk_038,doc_00001,cui-ssp-template-final.docx,docx,,482,62,"Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.  Implemented  Planned to be Implemented  Not Applicable  Curren"
small_recursive,doc_00001_chunk_039,doc_00001,cui-ssp-template-final.docx,docx,,486,57,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Employ replay-resistant authentication mechan"
small_recursive,doc_00001_chunk_040,doc_00001,cui-ssp-template-final.docx,docx,,419,52,"Prevent reuse of identifiers for a defined period.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide ratio"
small_recursive,doc_00001_chunk_041,doc_00001,cui-ssp-template-final.docx,docx,,468,59,Enforce a minimum password complexity and change of characters when new passwords are created.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation
small_recursive,doc_00001_chunk_042,doc_00001,cui-ssp-template-final.docx,docx,,470,57,Allow temporary password use for system logons with an immediate change to a permanent password.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementati
small_recursive,doc_00001_chunk_043,doc_00001,cui-ssp-template-final.docx,docx,,460,51,"Obscure feedback of authentication information.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rational"
small_recursive,doc_00001_chunk_044,doc_00001,cui-ssp-template-final.docx,docx,,492,59,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Track, document, and report incidents to desi"
small_recursive,doc_00001_chunk_045,doc_00001,cui-ssp-template-final.docx,docx,,423,48,"Test the organizational incident response capability  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rat"
small_recursive,doc_00001_chunk_046,doc_00001,cui-ssp-template-final.docx,docx,,490,61,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned impl"
small_recursive,doc_00001_chunk_047,doc_00001,cui-ssp-template-final.docx,docx,,473,58,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.  Implemented  Planned to be Implemented  Not Applicable  Current implementat
small_recursive,doc_00001_chunk_048,doc_00001,cui-ssp-template-final.docx,docx,,428,49,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Supervise the maintenance activities of maint"
small_recursive,doc_00001_chunk_049,doc_00001,cui-ssp-template-final.docx,docx,,492,63,"Media Protection  Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.  Implemented  Planned to be Implemented  Not Applicable  Current implementa"
small_recursive,doc_00001_chunk_050,doc_00001,cui-ssp-template-final.docx,docx,,465,58,Sanitize or destroy system media containing CUI before disposal or release for reuse.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details.
small_recursive,doc_00001_chunk_051,doc_00001,cui-ssp-template-final.docx,docx,,495,62,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.  Implemented  Planned to be Implemented  Not Applicable  Current implementati
small_recursive,doc_00001_chunk_052,doc_00001,cui-ssp-template-final.docx,docx,,498,64,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Control the use of removable media on system "
small_recursive,doc_00001_chunk_053,doc_00001,cui-ssp-template-final.docx,docx,,496,59,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Protect the confidentiality of backup CUI at "
small_recursive,doc_00001_chunk_054,doc_00001,cui-ssp-template-final.docx,docx,,465,56,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Ensure that organizational systems containing"
small_recursive,doc_00001_chunk_055,doc_00001,cui-ssp-template-final.docx,docx,,458,54,"Physical Protection  Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.  Implemented  Planned to be Implemented  Not Appli"
small_recursive,doc_00001_chunk_056,doc_00001,cui-ssp-template-final.docx,docx,,452,55,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Escort visitors and monitor visitor activity."
small_recursive,doc_00001_chunk_057,doc_00001,cui-ssp-template-final.docx,docx,,473,58,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Control and manage physical access devices.  "
small_recursive,doc_00001_chunk_058,doc_00001,cui-ssp-template-final.docx,docx,,498,60,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Risk Assessment  Periodically assess the risk"
small_recursive,doc_00001_chunk_059,doc_00001,cui-ssp-template-final.docx,docx,,476,56,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Scan for vulnerabilities in organizational sy"
small_recursive,doc_00001_chunk_060,doc_00001,cui-ssp-template-final.docx,docx,,428,52,"Remediate vulnerabilities in accordance with risk assessments.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” p"
small_recursive,doc_00001_chunk_061,doc_00001,cui-ssp-template-final.docx,docx,,447,54,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Develop and implement plans of action designe"
small_recursive,doc_00001_chunk_062,doc_00001,cui-ssp-template-final.docx,docx,,491,63,Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implemen
small_recursive,doc_00001_chunk_063,doc_00001,cui-ssp-template-final.docx,docx,,445,53,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  System and Communications Protection  Monitor"
small_recursive,doc_00001_chunk_064,doc_00001,cui-ssp-template-final.docx,docx,,482,54,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Employ architectural designs, software develo"
small_recursive,doc_00001_chunk_065,doc_00001,cui-ssp-template-final.docx,docx,,462,53,"Separate user functionality from system management functionality.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,"
small_recursive,doc_00001_chunk_066,doc_00001,cui-ssp-template-final.docx,docx,,482,60,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.  Implemented  Planned to be Implemented  Not Applicable  Current impl
small_recursive,doc_00001_chunk_067,doc_00001,cui-ssp-template-final.docx,docx,,420,50,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Prevent remote devices from simultaneously es"
small_recursive,doc_00001_chunk_068,doc_00001,cui-ssp-template-final.docx,docx,,469,54,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Implement cryptographic mechanisms to prevent"
small_recursive,doc_00001_chunk_069,doc_00001,cui-ssp-template-final.docx,docx,,442,56,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.  Implemented  Planned to be Implemented  Not Applicable  Curre
small_recursive,doc_00001_chunk_070,doc_00001,cui-ssp-template-final.docx,docx,,393,47,"Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  Employ FIPS-validated cryptography when used "
small_recursive,doc_00001_chunk_071,doc_00001,cui-ssp-template-final.docx,docx,,489,64,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.  Implemented  Planned to be Implemented  Not Applicable  Current 
small_recursive,doc_00001_chunk_072,doc_00001,cui-ssp-template-final.docx,docx,,489,61,Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “
small_recursive,doc_00001_chunk_073,doc_00001,cui-ssp-template-final.docx,docx,,451,57,"Protect the confidentiality of CUI at rest.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation details. If “Not Applicable,” provide rationale.  "
small_recursive,doc_00001_chunk_074,doc_00001,cui-ssp-template-final.docx,docx,,479,58,Provide protection from malicious code at designated locations within organizational systems.  Implemented  Planned to be Implemented  Not Applicable  Current implementation or planned implementation 
