document_id,file_name,doc_type,page_number,loader_name,char_count,word_count,text_preview
doc_00010,NIST.CSWP.29.pdf,pdf,8.0,PyPDFLoader,2973,422,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 4 improvement opportunities for the organization’s policies, plans, processes, procedures, and practices that support cybersec"
doc_00011,NIST.CSWP.29.pdf,pdf,9.0,PyPDFLoader,1409,199,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 5  Fig. 2. CSF Functions The Functions should be addressed concurrently. Actions that support GOVERN, IDENTIFY, PROTECT, and D"
doc_00012,NIST.CSWP.29.pdf,pdf,10.0,PyPDFLoader,1961,289,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 6 3. Introduction to CSF Profiles and Tiers This section defines the concepts of CSF Profiles and Tiers. 3.1. CSF Profiles A C"
doc_00013,NIST.CSWP.29.pdf,pdf,11.0,PyPDFLoader,3110,458,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 7 1. Scope the Organizational Profile. Document the high-level facts and assumptions on which the Profile will be based to def"
doc_00014,NIST.CSWP.29.pdf,pdf,12.0,PyPDFLoader,1086,156,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 8 continuously improving. Selecting Tiers helps set the overall tone for how an organization will manage its cybersecurity ris"
doc_00015,NIST.CSWP.29.pdf,pdf,13.0,PyPDFLoader,2657,387,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 9 4. Introduction to Online Resources That Supplement the CSF NIST and other organizations have produced a suite of online res"
doc_00016,NIST.CSWP.29.pdf,pdf,14.0,PyPDFLoader,2130,306,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 10 5. Improving Cybersecurity Risk Communication and Integration The CSF’s use will vary based on an organization’s unique mis"
doc_00017,NIST.CSWP.29.pdf,pdf,15.0,PyPDFLoader,3540,485,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 11 Preparing to create and use Organizational Profiles involves gathering information about organizational priorities, resourc"
doc_00018,NIST.CSWP.29.pdf,pdf,16.0,PyPDFLoader,2581,362,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 12 organizations by their nature may monitor risk at the enterprise level, while larger companies may maintain separate risk m"
doc_00019,NIST.CSWP.29.pdf,pdf,17.0,PyPDFLoader,2485,343,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 13  Fig. 6. Cybersecurity and privacy risk relationship Cybersecurity risk management is essential for addressing privacy risk"
doc_00020,NIST.CSWP.29.pdf,pdf,18.0,PyPDFLoader,1089,157,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 14 on C-SCRM. SP 800-161r1 (Revision 1), Cybersecurity Supply Chain Risk Management Practices for Systems and Organizations, p"
doc_00021,NIST.CSWP.29.pdf,pdf,19.0,PyPDFLoader,1891,274,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  15 Appendix A. CSF Core This appendix describes the Functions, Categories, and Subcategories of the CSF Core. Table 1 lists t"
doc_00022,NIST.CSWP.29.pdf,pdf,20.0,PyPDFLoader,2256,282,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  16 GOVERN (GV): The organization’s cybersecurity risk management strategy, expectations, and policy are established, communic"
doc_00023,NIST.CSWP.29.pdf,pdf,21.0,PyPDFLoader,2575,321,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  17 • Roles, Responsibilities, and Authorities (GV.RR): Cybersecurity roles, responsibilities, and authorities to foster accou"
doc_00024,NIST.CSWP.29.pdf,pdf,22.0,PyPDFLoader,2434,335,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  18 o GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into"
doc_00025,NIST.CSWP.29.pdf,pdf,23.0,PyPDFLoader,2265,307,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  19 o ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources o ID.RA-03: Internal and ext"
doc_00026,NIST.CSWP.29.pdf,pdf,24.0,PyPDFLoader,2563,353,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  20 o PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed,"
doc_00027,NIST.CSWP.29.pdf,pdf,25.0,PyPDFLoader,1784,248,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  21 o PR.IR-02: The organization’s technology assets are protected from environmental threats o PR.IR-03: Mechanisms are imple"
doc_00028,NIST.CSWP.29.pdf,pdf,26.0,PyPDFLoader,2069,299,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  22 RESPOND (RS): Actions regarding a detected cybersecurity incident are taken • Incident Management (RS.MA): Responses to de"
doc_00029,NIST.CSWP.29.pdf,pdf,27.0,PyPDFLoader,1020,143,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  23 o RC.RP-02: Recovery actions are selected, scoped, prioritized, and performed o RC.RP-03: The integrity of backups and oth"
doc_00030,NIST.CSWP.29.pdf,pdf,28.0,PyPDFLoader,3169,431,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  24 Appendix B. CSF Tiers Table 2 contains a notional illustration of the CSF Tiers discussed in Sec. 3. The Tiers characteriz"
doc_00031,NIST.CSWP.29.pdf,pdf,29.0,PyPDFLoader,2372,314,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  25 Tier Cybersecurity Risk Governance Cybersecurity Risk Management The organization risk strategy is informed by the cyberse"
doc_00032,NIST.CSWP.29.pdf,pdf,30.0,PyPDFLoader,2286,337,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  26 Appendix C. Glossary CSF Category A group of related cybersecurity outcomes that collectively comprise a CSF Function. CSF"
doc_00033,NIST.CSWP.29.pdf,pdf,31.0,PyPDFLoader,1220,167,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024  27 Certain commercial equipment, instruments, software, or materials, commercial or non -commercial, are identified in this p"
doc_00034,nist.sp.800-61r2.pdf,pdf,0.0,PyPDFLoader,1284,154,"Date updated: April 3, 2025 Withdrawn NIST Technical Series Publication  Warning Notice  The attached publication has been withdrawn (archived), and is provided solely for historical purposes. It may "
doc_00035,nist.sp.800-61r2.pdf,pdf,1.0,PyPDFLoader,246,30,Computer Security Incident Handling Guide Recommendations of the National Institute of Standards and T echnology Paul Cichonski T om Millar Tim Grance Karen Scarfone Special Publication 800-61 Revisio
doc_00036,nist.sp.800-61r2.pdf,pdf,2.0,PyPDFLoader,844,117,NIST Special Publication 800-61 Revision 2  Computer Security Incident Handling Guide  Recommendations of the National Institute of Standards and Technology  Paul Cichonski Computer Security Division 
doc_00037,nist.sp.800-61r2.pdf,pdf,3.0,PyPDFLoader,978,123,COMPUTER SECURITY INCIDENT HANDLING GUIDE ii  Reports on Computer Systems Technology  The Information Technology Laboratory (ITL) at the National Institute of Standards and Technology (NIST) promotes 
doc_00038,nist.sp.800-61r2.pdf,pdf,4.0,PyPDFLoader,3075,430,COMPUTER SECURITY INCIDENT HANDLING GUIDE iii Authority This publication has been developed by NIST to further its statutory responsibilities under the Federal Information Security Management Act (FIS
doc_00039,nist.sp.800-61r2.pdf,pdf,5.0,PyPDFLoader,886,103,COMPUTER SECURITY INCIDENT HANDLING GUIDE iv Abstract Computer security incident response has become an important component of information technology (IT) programs. Because performing incident respons
doc_00040,nist.sp.800-61r2.pdf,pdf,6.0,PyPDFLoader,3132,451,"COMPUTER SECURITY INCIDENT HANDLING GUIDE v Acknowledgments The authors, Paul Cichonski of the National Institute of Standards and Technology (NIST), Tom Millar of the United States Computer Emergency"
doc_00041,nist.sp.800-61r2.pdf,pdf,7.0,PyPDFLoader,5409,347,COMPUTER SECURITY INCIDENT HANDLING GUIDE vi Table of Contents Executive Summary ................................ ................................ ................................ ................. 1 
doc_00042,nist.sp.800-61r2.pdf,pdf,8.0,PyPDFLoader,3578,238,COMPUTER SECURITY INCIDENT HANDLING GUIDE vii 4.1 Coordination ................................ ................................ ................................ ............ 45 4.1.1 Coordination Rel
doc_00043,nist.sp.800-61r2.pdf,pdf,9.0,PyPDFLoader,818,58,COMPUTER SECURITY INCIDENT HANDLING GUIDE viii  List of Tables Table 3-1. Common Sources of Precursors and Indicators ................................ .......................27 Table 3-2. Functional I
doc_00044,nist.sp.800-61r2.pdf,pdf,10.0,PyPDFLoader,3575,472,COMPUTER SECURITY INCIDENT HANDLING GUIDE 1 Executive Summary Computer security incident response has become an important component of information technology (IT) programs. Cybersecurity-related attac
doc_00045,nist.sp.800-61r2.pdf,pdf,11.0,PyPDFLoader,2948,424,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 2  Staffing and training the incident response team. Organizations should reduce the frequency of incidents by effectively securing networks, systems, and ap"
doc_00046,nist.sp.800-61r2.pdf,pdf,12.0,PyPDFLoader,2334,338,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 3 Organizations should emphasize the importance of incident detection and analysis throughout the organization. In an organization, millions of possible signs"
doc_00047,nist.sp.800-61r2.pdf,pdf,13.0,PyPDFLoader,2880,400,COMPUTER SECURITY INCIDENT HANDLING GUIDE 4 1. Introduction 1.1 Authority The National Institute of Standards and Technology (NIST) developed this document in furtherance of its statutory responsibili
doc_00048,nist.sp.800-61r2.pdf,pdf,14.0,PyPDFLoader,680,103,COMPUTER SECURITY INCIDENT HANDLING GUIDE 5  Appendix A contains incident response scenarios and questions for use in incident response tabletop discussions.  Appendix B provides lists of suggested 
doc_00049,nist.sp.800-61r2.pdf,pdf,15.0,PyPDFLoader,3840,577,COMPUTER SECURITY INCIDENT HANDLING GUIDE 6 2. Organizing a Computer Security Incident Response Capability Organizing an effective computer security incident response capability (CSIRC) involves sever
doc_00050,nist.sp.800-61r2.pdf,pdf,16.0,PyPDFLoader,2855,367,COMPUTER SECURITY INCIDENT HANDLING GUIDE 7 future incidents and to provide stronger protection for systems and data. An incident response capability also helps with dealing properly with legal issues
doc_00051,nist.sp.800-61r2.pdf,pdf,17.0,PyPDFLoader,2640,382,COMPUTER SECURITY INCIDENT HANDLING GUIDE 8  Scope of the policy (to whom and what it applies and under what circumstances)  Definition of computer security incidents and related terms  Organizatio
doc_00052,nist.sp.800-61r2.pdf,pdf,18.0,PyPDFLoader,2011,271,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 9 priorities of the organization are reflected in response operations. In addition, following standardized responses should minimize errors, particularly thos"
doc_00053,nist.sp.800-61r2.pdf,pdf,19.0,PyPDFLoader,1252,179,COMPUTER SECURITY INCIDENT HANDLING GUIDE 10  Figure 2-1. Communications with Outside Parties 2.3.4.1 The Media The incident handling team should establish media communications procedures that comply 
doc_00054,nist.sp.800-61r2.pdf,pdf,20.0,PyPDFLoader,3422,510,COMPUTER SECURITY INCIDENT HANDLING GUIDE 11  Maintain a statement of the current status of the incident so that communications with the media are consistent and up-to-date.  Remind all staff of the
doc_00055,nist.sp.800-61r2.pdf,pdf,21.0,PyPDFLoader,3867,542,COMPUTER SECURITY INCIDENT HANDLING GUIDE 12 Each agency must designate a primary and secondary POC with US-CERT and report all incidents consistent with the agency’s incident response policy. Organiz
doc_00056,nist.sp.800-61r2.pdf,pdf,22.0,PyPDFLoader,3521,496,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 13 it. Another way in which external parties may be affected is if an attacker gains access to sensitive information regarding them, such as credit card infor"
doc_00057,nist.sp.800-61r2.pdf,pdf,23.0,PyPDFLoader,3683,537,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 14 central and distributed CSIRTs, the coordinating team model is not addressed in detail in this document.16 Incident response teams can also use any of thre"
doc_00058,nist.sp.800-61r2.pdf,pdf,24.0,PyPDFLoader,4120,596,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 15 reducing the amount of administrative work that team members are responsible for performing, can be a significant boost to morale.  Cost. Cost is a major "
doc_00059,nist.sp.800-61r2.pdf,pdf,25.0,PyPDFLoader,4231,625,COMPUTER SECURITY INCIDENT HANDLING GUIDE 16  Lack of Correlation. Correlation among multiple data sources is very important. If the intrusion detection system records an attempted attack against a w
doc_00060,nist.sp.800-61r2.pdf,pdf,26.0,PyPDFLoader,3296,476,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 17  Budget enough funding to maintain, enhance, and expand proficiency in technical areas and security disciplines, as well as less technical topics such as "
doc_00061,nist.sp.800-61r2.pdf,pdf,27.0,PyPDFLoader,4091,589,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 18  Legal Department. Legal experts should review incident response plans, policies, and procedures to ensure their compliance with law and Federal guidance,"
doc_00062,nist.sp.800-61r2.pdf,pdf,28.0,PyPDFLoader,3743,511,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 19 should be on the incident response team. This information can be communicated through many means: workshops, websites, newsletters, posters, and even stick"
doc_00063,nist.sp.800-61r2.pdf,pdf,29.0,PyPDFLoader,721,99,COMPUTER SECURITY INCIDENT HANDLING GUIDE 20 also needed for effective incident handling. Necessary training should be provided to all team members.  Identify other groups within the organization tha
doc_00064,nist.sp.800-61r2.pdf,pdf,30.0,PyPDFLoader,2330,335,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 21 3. Handling an Incident The incident response process has several phases. The initial phase involves establishing and training an incident response team, a"
doc_00065,nist.sp.800-61r2.pdf,pdf,31.0,PyPDFLoader,2974,420,COMPUTER SECURITY INCIDENT HANDLING GUIDE 22 communication and coordination mechanisms. An organization should have multiple (separate and different) communication and coordination mechanisms in case 
doc_00066,nist.sp.800-61r2.pdf,pdf,32.0,PyPDFLoader,3703,545,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 23 Incident Analysis Resources:  Port lists, including commonly used ports and Trojan horse ports  Documentation for OSs, applications, protocols, and intru"
doc_00067,nist.sp.800-61r2.pdf,pdf,33.0,PyPDFLoader,3940,502,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 24 operating system and application-specific guidelines.24 The following text, however, provides a brief overview of some of the main recommended practices fo"
doc_00068,nist.sp.800-61r2.pdf,pdf,34.0,PyPDFLoader,2155,323,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 25 3.2 Detection and Analysis  Figure 3-2. Incident Response Life Cycle (Detection and Analysis) 3.2.1 Attack Vectors Incidents can occur in countless ways, s"
doc_00069,nist.sp.800-61r2.pdf,pdf,35.0,PyPDFLoader,3111,490,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 26  Loss or Theft of Equipment: The loss or theft of a computing device or media used by the organization, such as a laptop, smartphone, or authentication to"
doc_00070,nist.sp.800-61r2.pdf,pdf,36.0,PyPDFLoader,4242,618,COMPUTER SECURITY INCIDENT HANDLING GUIDE 27  An application logs multiple failed login attempts from an unfamiliar remote system.  An email administrator sees a large number of bounced emails with 
doc_00071,nist.sp.800-61r2.pdf,pdf,37.0,PyPDFLoader,4296,638,COMPUTER SECURITY INCIDENT HANDLING GUIDE 28 Source Description Network flows A network flow is a particular communication session occurring between hosts. Routers and other networking devices can pro
doc_00072,nist.sp.800-61r2.pdf,pdf,38.0,PyPDFLoader,4146,631,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 29 easier, the best remedy is to build a team of highly experienced and proficient staff members who can analyze the precursors and indicators effectively and"
doc_00073,nist.sp.800-61r2.pdf,pdf,39.0,PyPDFLoader,4121,626,COMPUTER SECURITY INCIDENT HANDLING GUIDE 30  Keep All Host Clocks Synchronized. Protocols such as the Network Time Protocol (NTP) synchronize clocks among hosts.35 Event correlation will be more com
doc_00074,nist.sp.800-61r2.pdf,pdf,40.0,PyPDFLoader,3534,503,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 31 audio recorders, and digital cameras can also serve this purpose.38 Documenting system events, conversations, and observed changes in files can lead to a m"
doc_00075,nist.sp.800-61r2.pdf,pdf,41.0,PyPDFLoader,4122,620,COMPUTER SECURITY INCIDENT HANDLING GUIDE 32 3.2.6 Incident Prioritization Prioritizing the handling of the incident is perhaps the most critical decision point in the incident handling process. Incid
doc_00076,nist.sp.800-61r2.pdf,pdf,42.0,PyPDFLoader,2888,423,COMPUTER SECURITY INCIDENT HANDLING GUIDE 33 Table 3-2. Functional Impact Categories Category Definition None No effect to the organization’s ability to provide all services to all users Low Minimal e
doc_00077,nist.sp.800-61r2.pdf,pdf,43.0,PyPDFLoader,1652,244,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 34 include provisions concerning incident reporting—at a minimum, what must be reported to whom and at what times (e.g., initial notification, regular status "
doc_00078,nist.sp.800-61r2.pdf,pdf,44.0,PyPDFLoader,2037,286,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 35 3.3 Containment, Eradication, and Recovery  Figure 3-3. Incident Response Life Cycle (Containment, Eradication, and Recovery) 3.3.1 Choosing a Containment "
doc_00079,nist.sp.800-61r2.pdf,pdf,45.0,PyPDFLoader,4057,605,COMPUTER SECURITY INCIDENT HANDLING GUIDE 36 attacker’s activity other than sandboxing should not be used; if an organization knows that a system has been compromised and allows the compromise to cont
doc_00080,nist.sp.800-61r2.pdf,pdf,46.0,PyPDFLoader,3871,573,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 37 3.3.3 Identifying the Attacking Hosts During incident handling, system owners and others sometimes want to or need to identify the attacking host or hosts."
doc_00081,nist.sp.800-61r2.pdf,pdf,47.0,PyPDFLoader,1800,274,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 38 Because eradication and recovery actions are typically OS or application-specific, detailed recommendations and advice regarding them are outside the scope"
doc_00082,nist.sp.800-61r2.pdf,pdf,48.0,PyPDFLoader,4345,650,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 39  What additional tools or resources are needed to detect, analyze, and mitigate future incidents? Small incidents need limited post-incident analysis, wit"
doc_00083,nist.sp.800-61r2.pdf,pdf,49.0,PyPDFLoader,3790,583,COMPUTER SECURITY INCIDENT HANDLING GUIDE 40 necessary data to meet their requirements. See Section 4 for additional information on sharing incident data with other organizations. Organizations should
doc_00084,nist.sp.800-61r2.pdf,pdf,50.0,PyPDFLoader,2970,462,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 41 – Determining if the actual cause of the incident was identified, and identifying the vector of attack, the vulnerabilities exploited, and the characterist"
doc_00085,nist.sp.800-61r2.pdf,pdf,51.0,PyPDFLoader,2650,395,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 42  Cost. Original hardware (e.g., hard drives, compromised systems) that is stored as evidence, as well as hard drives and removable media that are used to "
doc_00086,nist.sp.800-61r2.pdf,pdf,52.0,PyPDFLoader,3900,569,COMPUTER SECURITY INCIDENT HANDLING GUIDE 43  Acquire tools and resources that may be of value during incident handling. The team will be more efficient at handling incidents if various tools and res
doc_00087,nist.sp.800-61r2.pdf,pdf,53.0,PyPDFLoader,3528,517,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 44  Start recording all information as soon as the team suspects that an incident has occurred. Every step taken, from the time the incident was detected to "
doc_00088,nist.sp.800-61r2.pdf,pdf,54.0,PyPDFLoader,3536,493,COMPUTER SECURITY INCIDENT HANDLING GUIDE 45 4. Coordination and Information Sharing The nature of contemporary threats and attacks makes it more important than ever for organizations to work together
doc_00089,nist.sp.800-61r2.pdf,pdf,55.0,PyPDFLoader,897,118,COMPUTER SECURITY INCIDENT HANDLING GUIDE 46  Figure 4-1. Incident Response Coordination  4.1.1 Coordination Relationships An incident response team within an organization may participate in different
doc_00090,nist.sp.800-61r2.pdf,pdf,56.0,PyPDFLoader,4058,550,COMPUTER SECURITY INCIDENT HANDLING GUIDE 47 Table 4-1. Coordination Relationships Category Definition Information Shared Team-to- team Team-to-team relationships exist whenever technical incident res
doc_00091,nist.sp.800-61r2.pdf,pdf,57.0,PyPDFLoader,3578,503,COMPUTER SECURITY INCIDENT HANDLING GUIDE 48  4.2 Information Sharing Techniques Information sharing is a key element of enabling coordination across organizations. Even the smallest organizations nee
doc_00092,nist.sp.800-61r2.pdf,pdf,58.0,PyPDFLoader,3911,545,COMPUTER SECURITY INCIDENT HANDLING GUIDE 49 share.47 The organization should work with its partner organizations when deciding on the data exchange models to ensure that the standards selected are co
doc_00093,nist.sp.800-61r2.pdf,pdf,59.0,PyPDFLoader,4026,588,COMPUTER SECURITY INCIDENT HANDLING GUIDE 50 degree of assistance to provide to the reporting organization. A coordinating team may also use this information to make decisions relative to how a specif
doc_00094,nist.sp.800-61r2.pdf,pdf,60.0,PyPDFLoader,2919,408,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 51 cases, this external data will generate false positives within the receiving organization's network and may cause resources to be spent on nonexistent prob"
doc_00095,nist.sp.800-61r2.pdf,pdf,61.0,PyPDFLoader,3026,449,COMPUTER SECURITY INCIDENT HANDLING GUIDE 52 Appendix A—Incident Handling Scenarios Incident handling scenarios provide an inexpensive and effective way to build incident response skills and identify 
doc_00096,nist.sp.800-61r2.pdf,pdf,62.0,PyPDFLoader,3109,488,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 53 5. What sources of evidence, if any, should the organization acquire? How would the evidence be acquired? Where would it be stored? How long should it be r"
doc_00097,nist.sp.800-61r2.pdf,pdf,63.0,PyPDFLoader,3234,487,COMPUTER SECURITY INCIDENT HANDLING GUIDE 54 organization has already incurred widespread infections before antivirus signatures become available several hours after the worm started to spread. The fo
doc_00098,nist.sp.800-61r2.pdf,pdf,64.0,PyPDFLoader,3430,555,COMPUTER SECURITY INCIDENT HANDLING GUIDE 55 2. How would the handling of this incident change if the team found that the database server had been running a packet sniffer and capturing passwords from
doc_00099,nist.sp.800-61r2.pdf,pdf,65.0,PyPDFLoader,3161,500,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 56 Scenario 7: Disappearing Host On a Thursday afternoon, a network intrusion detection sensor records vulnerability scanning activity directed at internal ho"
doc_00100,nist.sp.800-61r2.pdf,pdf,66.0,PyPDFLoader,3043,477,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 57 Scenario 9: Anonymous Threat On a Thursday afternoon, the organization’s physical security team receives a call from an IT manager, reporting that two of h"
doc_00101,nist.sp.800-61r2.pdf,pdf,67.0,PyPDFLoader,2453,354,COMPUTER SECURITY INCIDENT HANDLING GUIDE 58 Appendix B—Incident-Related Data Elements Organizations should identify a standard set of incident-related data elements to be collected for each incident.
doc_00102,nist.sp.800-61r2.pdf,pdf,68.0,PyPDFLoader,708,116,COMPUTER SECURITY INCIDENT HANDLING GUIDE 59 B.2 Incident Handler Data Elements  Current Status of the Incident Response  Summary of the Incident  Incident Handling Actions – Log of actions taken b
doc_00103,nist.sp.800-61r2.pdf,pdf,69.0,PyPDFLoader,2138,308,COMPUTER SECURITY INCIDENT HANDLING GUIDE 60 Appendix C—Glossary Selected terms used in the publication are defined below. Baselining: Monitoring resources to determine typical utilization patterns so
doc_00104,nist.sp.800-61r2.pdf,pdf,70.0,PyPDFLoader,1881,247,COMPUTER SECURITY INCIDENT HANDLING GUIDE 61 Appendix D—Acronyms Selected acronyms used in the publication are defined below. CCIPS Computer Crime and Intellectual Property Section CERIAS Center for E
doc_00105,nist.sp.800-61r2.pdf,pdf,71.0,PyPDFLoader,636,80,COMPUTER SECURITY INCIDENT HANDLING GUIDE 62 POC Point of Contact REN-ISAC Research and Education Networking Information Sharing and Analysis Center RFC Request for Comment RID Real-Time Inter-Network
doc_00106,nist.sp.800-61r2.pdf,pdf,72.0,PyPDFLoader,2212,216,COMPUTER SECURITY INCIDENT HANDLING GUIDE 63 Appendix E—Resources The lists below provide examples of resources that may be helpful in establishing and maintaining an incident response capability. Inc
doc_00107,nist.sp.800-61r2.pdf,pdf,73.0,PyPDFLoader,1883,167,COMPUTER SECURITY INCIDENT HANDLING GUIDE 64 Data Exchange Specifications Applicable to Incident Handling Title Description Additional Information AI Asset Identification http://csrc.nist.gov/publicat
doc_00108,nist.sp.800-61r2.pdf,pdf,74.0,PyPDFLoader,3366,492,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 65 Appendix F—Frequently Asked Questions Users, system administrators, information security staff members, and others within organizations may have questions "
doc_00109,nist.sp.800-61r2.pdf,pdf,75.0,PyPDFLoader,3607,556,"COMPUTER SECURITY INCIDENT HANDLING GUIDE 66 structures, such as the IT help desk, for an initial POC. The organization should recognize that external parties, such as other incident response teams, w"
doc_00110,nist.sp.800-61r2.pdf,pdf,76.0,PyPDFLoader,238,37,COMPUTER SECURITY INCIDENT HANDLING GUIDE 67 other than to refer the caller to the organization’s public affairs office. This will allow the public affairs office to provide accurate and consistent in
doc_00111,nist.sp.800-61r2.pdf,pdf,77.0,PyPDFLoader,3225,505,COMPUTER SECURITY INCIDENT HANDLING GUIDE 68 Appendix G—Crisis Handling Steps This is a list of the major steps that should be performed when a technical professional believes that a serious incident 
